class,method,body,path,header,single_q,double_q,dashes,braces,spaces,badwords
,,,,,,,,,,
good,b'GET',b'',b'/api/v1/notifications',"{b'Host': b'sanskarkashyap:3443\r', b'Cookie': b'ui_session=2986ad8c0a5b3df4d7028d5f3c06e936c6487e5b6ce79269f4e8e4df5bbd4cd76906239582e05e17b89676301a772132bae6017ff2baeb068e200cf7a736c8501\r', b'User-Agent': b'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0\r', b'Accept': b'application/json, text/plain, */*\r', b'Accept-Language': b'en-US,en;q=0.5\r', b'Accept-Encoding': b'gzip, deflate\r', b'X-Auth': b'2986ad8c0a5b3df4d7028d5f3c06e936c6487e5b6ce79269f4e8e4df5bbd4cd76906239582e05e17b89676301a772132bae6017ff2baeb068e200cf7a736c8501\r', b'Referer': b'https://sanskarkashyap:3443/\r', b'Sec-Fetch-Dest': b'empty\r', b'Sec-Fetch-Mode': b'cors\r', b'Sec-Fetch-Site': b'same-origin\r', b'Te': b'trailers\r', b'Connection': b'close\r'}",0,0,12,0,26,0
good,b'GET',b'',b'/api/v1/me/manual_intervention/ea42690f3bcbbc62d8cad08ae7e055b1',"{b'Host': b'sanskarkashyap:3443\r', b'Cookie': b'ui_session=2986ad8c0a5b3df4d7028d5f3c06e936c6487e5b6ce79269f4e8e4df5bbd4cd76906239582e05e17b89676301a772132bae6017ff2baeb068e200cf7a736c8501\r', b'User-Agent': b'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0\r', b'Accept': b'application/json, text/plain, */*\r', b'Accept-Language': b'en-US,en;q=0.5\r', b'Accept-Encoding': b'gzip, deflate\r', b'X-Auth': b'2986ad8c0a5b3df4d7028d5f3c06e936c6487e5b6ce79269f4e8e4df5bbd4cd76906239582e05e17b89676301a772132bae6017ff2baeb068e200cf7a736c8501\r', b'Referer': b'https://sanskarkashyap:3443/\r', b'Sec-Fetch-Dest': b'empty\r', b'Sec-Fetch-Mode': b'cors\r', b'Sec-Fetch-Site': b'same-origin\r', b'Te': b'trailers\r', b'Connection': b'close\r'}",0,0,12,0,26,0
good,b'GET',b'',b'/api/v1/scans/d8416bcf-f484-4c7a-abc0-e03c70a6a8fc',"{b'Host': b'sanskarkashyap:3443\r', b'Cookie': b'ui_session=2986ad8c0a5b3df4d7028d5f3c06e936c6487e5b6ce79269f4e8e4df5bbd4cd76906239582e05e17b89676301a772132bae6017ff2baeb068e200cf7a736c8501\r', b'User-Agent': b'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0\r', b'Accept': b'application/json, text/plain, */*\r', b'Accept-Language': b'en-US,en;q=0.5\r', b'Accept-Encoding': b'gzip, deflate\r', b'X-Auth': b'2986ad8c0a5b3df4d7028d5f3c06e936c6487e5b6ce79269f4e8e4df5bbd4cd76906239582e05e17b89676301a772132bae6017ff2baeb068e200cf7a736c8501\r', b'Referer': b'https://sanskarkashyap:3443/\r', b'Sec-Fetch-Dest': b'empty\r', b'Sec-Fetch-Mode': b'cors\r', b'Sec-Fetch-Site': b'same-origin\r', b'Te': b'trailers\r', b'Connection': b'close\r'}",0,0,16,0,26,0
good,b'GET',b'',b'/data/guide.js/c3c5895e-585b-4bd7-4e19-6f51bab34f7a?id=96&jzb=eJyVjz9vwyAQR78LXetw_Le9dexcdY6OAxIrKbYMjlRV-e4hHTy32-knvQfvh92mMtV5fQ9sZA6MDFHYCJQM2ZS0s9F5Fc0gyUszKCVQW8deGRLNW66_mLUwJIEenBPGgIl6QBUxEKEJ3gtHziRhZcO29dqAc61LGTkvmMsF1wuW8zcuo9Ja8RdeqM089FpYT6lLutedJocdeoIugiIHaLFPxKec5mb9ihUDVmTj3vM8p382XTGfNjzFRsV8_Pxg971z1_25tbELrjHXt93QpvbLpx4MB8slSNWevcW1THNuszyI3h3guKxzYPf7Ay0Heog&v=2.187.0_prod&ct=1685936789934',"{b'Host': b'data.pendo.io\r', b'User-Agent': b'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0\r', b'Accept': b'*/*\r', b'Accept-Language': b'en-US,en;q=0.5\r', b'Accept-Encoding': b'gzip, deflate\r', b'Referer': b'https://sanskarkashyap:3443/\r', b'Sec-Fetch-Dest': b'script\r', b'Sec-Fetch-Mode': b'no-cors\r', b'Sec-Fetch-Site': b'cross-site\r', b'Te': b'trailers\r'}",0,0,18,0,21,1
good,b'GET',b'',b'/api/v1/scans/d8416bcf-f484-4c7a-abc0-e03c70a6a8fc/results/2e31fd4f-7673-4566-b981-05e010b42069/statistics',"{b'Host': b'sanskarkashyap:3443\r', b'Cookie': b'ui_session=2986ad8c0a5b3df4d7028d5f3c06e936c6487e5b6ce79269f4e8e4df5bbd4cd76906239582e05e17b89676301a772132bae6017ff2baeb068e200cf7a736c8501\r', b'User-Agent': b'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0\r', b'Accept': b'application/json, text/plain, */*\r', b'Accept-Language': b'en-US,en;q=0.5\r', b'Accept-Encoding': b'gzip, deflate\r', b'X-Auth': b'2986ad8c0a5b3df4d7028d5f3c06e936c6487e5b6ce79269f4e8e4df5bbd4cd76906239582e05e17b89676301a772132bae6017ff2baeb068e200cf7a736c8501\r', b'Referer': b'https://sanskarkashyap:3443/\r', b'Sec-Fetch-Dest': b'empty\r', b'Sec-Fetch-Mode': b'cors\r', b'Sec-Fetch-Site': b'same-origin\r', b'Te': b'trailers\r', b'Connection': b'close\r'}",0,0,20,0,26,0
good,b'GET',b'',b'/api/v1/export_types',"{b'Host': b'sanskarkashyap:3443\r', b'Cookie': b'ui_session=2986ad8c0a5b3df4d7028d5f3c06e936c6487e5b6ce79269f4e8e4df5bbd4cd76906239582e05e17b89676301a772132bae6017ff2baeb068e200cf7a736c8501\r', b'User-Agent': b'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0\r', b'Accept': b'application/json, text/plain, */*\r', b'Accept-Language': b'en-US,en;q=0.5\r', b'Accept-Encoding': b'gzip, deflate\r', b'X-Auth': b'2986ad8c0a5b3df4d7028d5f3c06e936c6487e5b6ce79269f4e8e4df5bbd4cd76906239582e05e17b89676301a772132bae6017ff2baeb068e200cf7a736c8501\r', b'Referer': b'https://sanskarkashyap:3443/\r', b'Sec-Fetch-Dest': b'empty\r', b'Sec-Fetch-Mode': b'cors\r', b'Sec-Fetch-Site': b'same-origin\r', b'Te': b'trailers\r', b'Connection': b'close\r'}",0,0,12,0,26,0
good,b'GET',b'',b'/api/v1/report_templates',"{b'Host': b'sanskarkashyap:3443\r', b'Cookie': b'ui_session=2986ad8c0a5b3df4d7028d5f3c06e936c6487e5b6ce79269f4e8e4df5bbd4cd76906239582e05e17b89676301a772132bae6017ff2baeb068e200cf7a736c8501\r', b'User-Agent': b'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0\r', b'Accept': b'application/json, text/plain, */*\r', b'Accept-Language': b'en-US,en;q=0.5\r', b'Accept-Encoding': b'gzip, deflate\r', b'X-Auth': b'2986ad8c0a5b3df4d7028d5f3c06e936c6487e5b6ce79269f4e8e4df5bbd4cd76906239582e05e17b89676301a772132bae6017ff2baeb068e200cf7a736c8501\r', b'Referer': b'https://sanskarkashyap:3443/\r', b'Sec-Fetch-Dest': b'empty\r', b'Sec-Fetch-Mode': b'cors\r', b'Sec-Fetch-Site': b'same-origin\r', b'Te': b'trailers\r', b'Connection': b'close\r'}",0,0,12,0,26,0
good,b'GET',b'',b'/api/v1/exports/6d0cddd8-938e-44a6-8847-4e5ebdac11bd',"{b'Host': b'sanskarkashyap:3443\r', b'Cookie': b'ui_session=2986ad8c0a5b3df4d7028d5f3c06e936c6487e5b6ce79269f4e8e4df5bbd4cd76906239582e05e17b89676301a772132bae6017ff2baeb068e200cf7a736c8501\r', b'User-Agent': b'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0\r', b'Accept': b'application/json, text/plain, */*\r', b'Accept-Language': b'en-US,en;q=0.5\r', b'Accept-Encoding': b'gzip, deflate\r', b'X-Auth': b'2986ad8c0a5b3df4d7028d5f3c06e936c6487e5b6ce79269f4e8e4df5bbd4cd76906239582e05e17b89676301a772132bae6017ff2baeb068e200cf7a736c8501\r', b'Referer': b'https://sanskarkashyap:3443/\r', b'Sec-Fetch-Dest': b'empty\r', b'Sec-Fetch-Mode': b'cors\r', b'Sec-Fetch-Site': b'same-origin\r', b'Te': b'trailers\r', b'Connection': b'close\r'}",0,0,16,0,26,0
good,b'GET',b'',b'/api/v1/reports/download/9de9d3f9b5fe5d68a1389e5af58a0225850980b65540caafdfad2901c4ba15751ba96501647d68fa6d0cddd8-938e-44a6-8847-4e5ebdac11bd.xml',"{b'Host': b'sanskarkashyap:3443\r', b'Cookie': b'ui_session=2986ad8c0a5b3df4d7028d5f3c06e936c6487e5b6ce79269f4e8e4df5bbd4cd76906239582e05e17b89676301a772132bae6017ff2baeb068e200cf7a736c8501\r', b'User-Agent': b'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0\r', b'Accept': b'text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8\r', b'Accept-Language': b'en-US,en;q=0.5\r', b'Accept-Encoding': b'gzip, deflate\r', b'Referer': b'https://sanskarkashyap:3443/\r', b'Upgrade-Insecure-Requests': b'1\r', b'Sec-Fetch-Dest': b'document\r', b'Sec-Fetch-Mode': b'navigate\r', b'Sec-Fetch-Site': b'same-origin\r', b'Te': b'trailers\r', b'Connection': b'close\r'}",0,0,17,0,24,0
